,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2,Train CRMSD,Train data based prediction,Train data Standard Deviation,Train Pearson Correlation coefficient
21,3,1401,0.025060789331805826,0.13655774070057394,0.7391941901608858,0.14090043242198916,0.1633463772356139,0.267397715184587,0.9104675697290103
22,3,2801,0.01736950869951952,0.1020883192536737,0.8542405491261769,0.10445217791021745,0.2092804109126356,0.267397715184587,0.9370657212948061
23,3,4201,0.014508053448512886,0.0840600051845165,0.9011757696299032,0.0873758635769662,0.22885262273991822,0.267397715184587,0.9544083243325835
24,3,5601,0.012604102011067354,0.07125479910973023,0.9289910884145501,0.0768728160357059,0.23577033356149,0.267397715184587,0.9676762195538422
25,3,7001,0.011160661214561992,0.06203241159329565,0.9461826949309102,0.07064633971739104,0.2407685011004203,0.267397715184587,0.9756321239310214
26,3,8401,0.009422733361658713,0.05309027221126526,0.96058019059564,0.055741263201887575,0.24515336950725397,0.267397715184587,0.982276201534355
27,3,9801,0.008142006622312393,0.045972239081895905,0.9704419398130589,0.04812415128290155,0.248681334464765,0.267397715184587,0.9867469495596948
28,3,11201,0.006950528888667299,0.03991392803360998,0.9777190576074402,0.04118526088703912,0.2510739372101455,0.267397715184587,0.9901216922790133
29,3,12601,0.006177571348229403,0.035548799069371265,0.982326014948718,0.03665781863578878,0.2535521251539764,0.267397715184587,0.9920965675098143
30,4,1,0.053915414733621575,0.2671897545573128,0.0015548357212518127,0.2761421097767784,0.00025612270164439727,0.267397715184587,0.8121202114223549
31,4,1401,0.023222820253555296,0.12566049271139837,0.7791577656764143,0.12967535362654492,0.16818313129125018,0.267397715184587,0.9338889849675169
32,4,2801,0.015014977902777376,0.08783348795618592,0.8921041167355428,0.09013248150238302,0.21625316103232986,0.267397715184587,0.9559195658190479
33,4,4201,0.01161305035975281,0.0675984278035855,0.936091620350538,0.07253688971533183,0.2339682450431333,0.267397715184587,0.9724258000690804
34,4,5601,0.009410537370740723,0.05434403263547317,0.9586963586778253,0.057577165081268034,0.2428182976247823,0.267397715184587,0.9819209134779798
35,4,7001,0.007732950309402132,0.04453508549020917,0.9722611024501818,0.046631922863085366,0.248311351081511,0.267397715184587,0.9878082012823974
36,4,8401,0.006193997900573115,0.03610001604332984,0.981773662592232,0.037257062655922636,0.25222089495180156,0.267397715184587,0.9920487683440756
37,4,9801,0.005175895741756047,0.030278259910891264,0.9871782754920654,0.031177849727224677,0.25529553972730984,0.267397715184587,0.9943601708758467
38,4,11201,0.004243758404381342,0.024995572816102495,0.9912620248860359,0.025477084398774504,0.25755711082475974,0.267397715184587,0.9961682239542233
39,4,12601,0.00350427606273795,0.020753027928008542,0.9939765188314822,0.020853945329612114,0.2597610900915987,0.267397715184587,0.9973198917368031
