,Train RMSE,Validation RMSE,Train MAPE,Validation MAPE
32,6.684034,6.5521736,0.24548099438349405,0.7165138125419617
33,6.3824244,6.2290077,0.23710781335830688,0.6923938095569611
34,6.273671,6.038213,0.23012928167978922,0.6677421629428864
35,5.788028,5.7722397,0.20991929372151694,0.6375897228717804
36,5.8591537,5.56344,0.21465402841567993,0.6107439398765564
37,5.5136123,5.1233892,0.20702926317850748,0.5687111616134644
38,5.0680237,4.9057217,0.18528801202774048,0.5352848172187805
39,4.706421,4.617837,0.1674005389213562,0.5012645274400711
40,4.5012755,4.1688137,0.16455355286598206,0.44525007903575897
41,4.3147426,3.7191882,0.15560259421666464,0.3995932638645172
42,3.518207,3.4241908,0.1118914783000946,0.36229993402957916
43,3.2428136,2.983272,0.0994518796602885,0.3134087771177292
44,2.9390478,2.4664948,0.11143440008163452,0.25199898332357407
45,2.3520827,2.0109966,0.07687276601791382,0.20580409467220306
46,1.9785179,1.5170403,0.05924557646115621,0.15413566678762436
47,1.5517881,1.1879337,0.0546570618947347,0.11078071221709251
48,0.9373622,1.0381618,0.009244843075672785,0.08921614289283752
49,1.1274822,1.1644253,0.0390186682343483,0.09999431669712067
50,1.3641112,1.1300502,0.06069250404834747,0.1065647341310978
51,1.5928348,1.4402268,0.09305357933044434,0.1360805705189705
52,1.3890798,1.2080307,0.04546854396661123,0.11041280254721642
53,1.3894881,1.2140812,0.06975400447845459,0.10985920578241348
54,1.1851417,1.1047192,0.04453133046627045,0.09566395729780197
55,1.1245693,1.0741966,0.03599998354911804,0.09107310697436333
56,1.0930614,1.0705998,0.033555492758750916,0.09327105805277824
57,0.919728,1.0651546,0.01540533701578776,0.09174542501568794
58,1.2360462,0.8893815,0.04859986404577891,0.07672978937625885
59,1.1541724,1.0474529,0.04693410793940226,0.09048546850681305
60,0.9247799,1.1032696,0.021294121940930683,0.0952618159353733
61,1.0009322,1.0583625,0.023626784483591717,0.08903272077441216
62,0.87847775,1.1214504,0.015533377726872763,0.09671217203140259
63,1.232877,1.154785,0.05608720084031423,0.10430647060275078
64,0.89722216,0.8363943,0.016297824680805206,0.0786286499351263
65,0.82231635,1.0991801,0.0099127646535635,0.09518367797136307
66,1.0316143,1.0456377,0.022799792389074963,0.09040657058358192
67,1.1598439,0.97348464,0.04134415338436762,0.08769794180989265
68,1.1405853,0.9238979,0.040998357037703194,0.08132507838308811
69,1.0059342,1.0484279,0.03023883452018102,0.08848358690738678
70,0.81307924,1.0025373,0.0077378215889136,0.08421925455331802
71,0.84838665,1.0884193,0.012551814317703247,0.09460424259305
72,0.9206847,1.0073626,0.01827143256862958,0.0877925492823124
73,0.7857329,1.0830874,0.005902033299207687,0.09249216318130493
74,1.1701922,1.0346129,0.041839043299357094,0.08902006223797798
75,1.0387406,0.9683565,0.02784295380115509,0.08513915538787842
76,1.139317,0.93600863,0.04060768584410349,0.08061649091541767
77,1.1273806,1.0803624,0.03786959499120712,0.09329928457736969
78,0.8989026,1.0251722,0.020966477692127228,0.08681818097829819
79,1.2142307,1.11359,0.06526333590348561,0.10119633749127388
